text,command
робот хватит,dismiss
отбой панда,dismiss
стоп робот,dismiss
пожалуйста остановись,dismiss
хватит пожалуйста,dismiss
давай отставить,dismiss
ну-ка стоп,dismiss
а ну хватит,dismiss
эй остановись,dismiss
ты остановись,dismiss
прекрати сейчас,dismiss
быстро стоп,dismiss
панда давай отставить,dismiss
робот пожалуйста остановись,dismiss
закончи уже,dismiss
ну хватит,dismiss
стоять,dismiss
встань,dismiss
встаньте,dismiss
встать,dismiss
вставать,dismiss
вставайте,dismiss
надо встать,dismiss
нужно встать,dismiss
пора встать,dismiss
пора вставать,dismiss
надо вставать,dismiss
нужно вставать,dismiss
встал бы,dismiss
встала бы,dismiss
встали бы,dismiss
встанешь,dismiss
встанете,dismiss
давай вставай,dismiss
ну-ка вставай,dismiss
а ну встань,dismiss
эй вставай,dismiss
ты вставай,dismiss
быстро встань,dismiss
панда вставай,dismiss
робот встань,dismiss
панда встань,dismiss
робот вставай,dismiss
пожалуйста встань,dismiss
вставай пожалуйста,dismiss
можно встать,dismiss
хватит уже,dismiss
прекращай,dismiss
прекращайте,dismiss
прекратите,dismiss
остановитесь,dismiss
закончить,dismiss
заканчивай,dismiss
заканчивайте,dismiss
надо прекратить,dismiss
нужно остановиться,dismiss
пора заканчивать,dismiss
подними,dismiss
поднимись,dismiss
подними робота,dismiss
подними панду,dismiss
поднимись робот,dismiss
поднимись панда,dismiss
панда подними,dismiss
робот поднимись,dismiss
панда поднимись,dismiss
робот подними,dismiss
подними себя,dismiss
поднимись сам,dismiss
пожалуйста поднимись,dismiss
поднимись пожалуйста,dismiss
давай поднимись,dismiss
ну-ка поднимись,dismiss
а ну подними,dismiss
эй поднимись,dismiss
ты поднимись,dismiss
быстро поднимись,dismiss
панда давай поднимись,dismiss
робот пожалуйста поднимись,dismiss
надо подняться,dismiss
нужно подняться,dismiss
пора подняться,dismiss
лежать,lie_down
ложись,lie_down
принять положение лежа,lie_down
ляг,lie_down
упади,lie_down
ложись на пол,lie_down
робот лежать,lie_down
лежать сейчас,lie_down
прими положение лежа,lie_down
ляг на землю,lie_down
упади на пол,lie_down
панда лежать,lie_down
панда ложись,lie_down
робот ляг,lie_down
лежать панда,lie_down
ляг робот,lie_down
пожалуйста ложись,lie_down
ляг пожалуйста,lie_down
давай лежать,lie_down
ну-ка ложись,lie_down
а ну лежать,lie_down
эй ложись,lie_down
ты ложись,lie_down
полежи,lie_down
повались,lie_down
быстро лежать,lie_down
панда давай ложись,lie_down
робот пожалуйста ляг,lie_down
ложись уже,lie_down
ну лежать,lie_down
лечь,lie_down
ложиться,lie_down
ляжь,lie_down
лягте,lie_down
ложитесь,lie_down
надо лечь,lie_down
нужно лечь,lie_down
пора лечь,lie_down
надо ложиться,lie_down
нужно ложиться,lie_down
пора ложиться,lie_down
лег бы,lie_down
легла бы,lie_down
легли бы,lie_down
ляжешь,lie_down
давай ложись,lie_down
ну-ка ляг,lie_down
а ну ляг,lie_down
эй ляг,lie_down
ты ляг,lie_down
быстро ляг,lie_down
панда ляг,lie_down
робот ложись,lie_down
можно лечь,lie_down
падай,lie_down
падать,lie_down
упасть,lie_down
надо упасть,lie_down
кувырок,rotate
вращайся,rotate
сделай кувырок,rotate
перекувырнись,rotate
кувыркайся,rotate
кувырок вперед,rotate
кувырок назад,rotate
робот кувырок,rotate
вращайся робот,rotate
сделай кувырок сейчас,rotate
перекувырнись вперед,rotate
выполни кувырок,rotate
панда кувырок,rotate
панда вращайся,rotate
робот перекувырнись,rotate
кувырок панда,rotate
пожалуйста кувырок,rotate
вращайся пожалуйста,rotate
давай кувырок,rotate
ну-ка кувырок,rotate
а ну вращайся,rotate
эй кувырок,rotate
ты вращайся,rotate
покрутись,rotate
перевернись,rotate
быстро кувырок,rotate
панда давай кувырок,rotate
робот пожалуйста вращайся,rotate
кувыркайся уже,rotate
ну вращайся,rotate
кувыркаться,rotate
вращаться,rotate
перекувырнуться,rotate
перевернуться,rotate
покрутиться,rotate
кувыркнись,rotate
кувыркнитесь,rotate
вращайтесь,rotate
перевернитесь,rotate
покрутитесь,rotate
надо кувыркнуться,rotate
нужно перевернуться,rotate
пора кувыркаться,rotate
надо вращаться,rotate
кувыркнулся бы,rotate
перевернулся бы,rotate
кувыркнешься,rotate
перевернешься,rotate
давай вращайся,rotate
ну-ка перевернись,rotate
а ну кувыркайся,rotate
эй перевернись,rotate
ты кувыркайся,rotate
быстро перевернись,rotate
панда перевернись,rotate
робот кувыркайся,rotate
можно кувыркнуться,rotate
крутись,rotate
крутиться,rotate
покрути,rotate
бегать,run
пошли,run
беги,run
побеги,run
бегай,run
беги быстро,run
побеги вперед,run
робот бегать,run
пошли робот,run
беги ко мне,run
побеги туда,run
бегай по кругу,run
панда беги,run
панда бегать,run
робот побеги,run
беги панда,run
бегать робот,run
пожалуйста беги,run
бегай пожалуйста,run
давай беги,run
ну-ка беги,run
а ну бегать,run
эй беги,run
ты беги,run
быстро бегать,run
бегом,run
беги вперед,run
панда давай беги,run
робот пожалуйста бегай,run
беги уже,run
ну беги,run
бежать,run
побежать,run
бегите,run
побегите,run
бегайте,run
надо бежать,run
нужно бежать,run
пора бежать,run
надо бегать,run
нужно побежать,run
побежал бы,run
бежал бы,run
побежишь,run
побежите,run
давай бегай,run
ну-ка побеги,run
а ну беги,run
эй побеги,run
ты бегай,run
быстро беги,run
панда побеги,run
робот бегай,run
можно бежать,run
побегай,run
побегайте,run
смирно,stop_running
остановись бег,stop_running
прекрати бегать,stop_running
стоп бег,stop_running
хватит бегать,stop_running
перестань бегать,stop_running
смирно робот,stop_running
остановись бег сейчас,stop_running
прекрати бегать сейчас,stop_running
панда смирно,stop_running
панда остановись,stop_running
робот стоп бег,stop_running
смирно панда,stop_running
стоп робот бег,stop_running
пожалуйста остановись бег,stop_running
хватит бегать пожалуйста,stop_running
давай стоп бег,stop_running
ну-ка стоп бег,stop_running
а ну хватит бегать,stop_running
эй остановись бег,stop_running
ты остановись бег,stop_running
прекрати бег,stop_running
стой не бегай,stop_running
быстро остановись бег,stop_running
панда давай смирно,stop_running
робот пожалуйста остановись бег,stop_running
остановись бег уже,stop_running
ну хватит бегать,stop_running
остановить бег,stop_running
прекратить бегать,stop_running
перестать бегать,stop_running
остановитесь бег,stop_running
прекратите бегать,stop_running
перестаньте бегать,stop_running
надо остановить бег,stop_running
нужно прекратить бегать,stop_running
пора остановиться бег,stop_running
остановился бы бег,stop_running
прекратил бы бегать,stop_running
остановишь бег,stop_running
прекратишь бегать,stop_running
давай прекращай бегать,stop_running
ну-ка хватит бегать,stop_running
а ну прекрати бегать,stop_running
эй хватит бегать,stop_running
ты прекрати бегать,stop_running
быстро хватит бегать,stop_running
панда хватит бегать,stop_running
робот прекрати бегать,stop_running
можно остановить бег,stop_running
не бегай,stop_running
не бегать,stop_running
держи джойстик,reconnect_joystick
возьми джойстик,reconnect_joystick
подключись к джойстику,reconnect_joystick
подключи джойстик,reconnect_joystick
подключи контроллер,reconnect_joystick
возьми контроллер,reconnect_joystick
робот держи джойстик,reconnect_joystick
держи джойстик в руке,reconnect_joystick
возьми джойстик сейчас,reconnect_joystick
подключись к джойстику сейчас,reconnect_joystick
панда держи джойстик,reconnect_joystick
панда подключись,reconnect_joystick
робот возьми джойстик,reconnect_joystick
джойстик панда,reconnect_joystick
подключи джойстик робот,reconnect_joystick
пожалуйста держи джойстик,reconnect_joystick
возьми джойстик пожалуйста,reconnect_joystick
давай джойстик,reconnect_joystick
ну-ка джойстик,reconnect_joystick
а ну возьми джойстик,reconnect_joystick
эй джойстик,reconnect_joystick
ты держи джойстик,reconnect_joystick
подключись к контроллеру,reconnect_joystick
джойстик возьми,reconnect_joystick
быстро джойстик,reconnect_joystick
панда давай джойстик,reconnect_joystick
робот пожалуйста возьми джойстик,reconnect_joystick
подключись уже,reconnect_joystick
ну держи джойстик,reconnect_joystick
держать джойстик,reconnect_joystick
взять джойстик,reconnect_joystick
подключиться к джойстику,reconnect_joystick
подключить джойстик,reconnect_joystick
подключить контроллер,reconnect_joystick
взять контроллер,reconnect_joystick
держите джойстик,reconnect_joystick
возьмите джойстик,reconnect_joystick
подключитесь к джойстику,reconnect_joystick
подключите джойстик,reconnect_joystick
надо взять джойстик,reconnect_joystick
нужно подключить джойстик,reconnect_joystick
пора подключиться к джойстику,reconnect_joystick
надо держать джойстик,reconnect_joystick
взял бы джойстик,reconnect_joystick
подключился бы к джойстику,reconnect_joystick
возьмешь джойстик,reconnect_joystick
подключишься к джойстику,reconnect_joystick
давай возьми джойстик,reconnect_joystick
ну-ка возьми джойстик,reconnect_joystick
а ну подключись к джойстику,reconnect_joystick
эй возьми джойстик,reconnect_joystick
ты возьми джойстик,reconnect_joystick
быстро возьми джойстик,reconnect_joystick
панда возьми джойстик,reconnect_joystick
робот подключись к джойстику,reconnect_joystick
можно взять джойстик,reconnect_joystick
контроллер,reconnect_joystick
джойстик,reconnect_joystick
опусти робота,lie_down
