text,command
так лежать панда,unknown
так беги робот,unknown
вообще лежать,unknown
вообще беги,unknown
просто лежать,unknown
просто беги,unknown
только лежать,unknown
только беги,unknown
еще лежать,unknown
еще беги,unknown
опять лежать,unknown
опять беги,unknown
снова лежать,unknown
снова беги,unknown
опять ты лежишь,unknown
снова бежишь,unknown
всегда лежишь,unknown
часто бегаешь,unknown
редко даешь лапу,unknown
иногда вращаешься,unknown
никогда не лежишь,unknown
никогда не бегаешь,unknown
лежать бы,unknown
беги бы,unknown
лапу бы дал,unknown
кувырок бы сделал,unknown
лежать ли,unknown
беги ли,unknown
лапу ли дать,unknown
надо ли лежать,unknown
стоит ли бегать,unknown
можно ли лапу,unknown
лежи если хочешь,unknown
беги когда скажу,unknown
лапу когда попросят,unknown
лежать что ли,unknown
беги что ли,unknown
лапу дать что ли,unknown
кувырок сделать что ли,unknown
панда а что делать,unknown
робот а куда идти,unknown
ну и лежать,unknown
ну и беги,unknown
вот и лапу,unknown
так и кувырок,unknown
лежать же,unknown
беги же,unknown
лапу же,unknown
разве лежать,unknown
разве беги,unknown
разве лапу дать,unknown
неужели лежать,unknown
неужели беги,unknown
будто лежать,unknown
будто беги,unknown
словно лежать,unknown
словно беги,unknown
типа лежать,unknown
типа беги,unknown
как бы лежать,unknown
как бы беги,unknown
вроде лежать,unknown
вроде беги,unknown
похоже лежать,unknown
похоже беги,unknown
панда хочет лежать,unknown
робот хочет бегать,unknown
панда может лежать,unknown
робот может бегать,unknown
панда должен лежать,unknown
робот должен бегать,unknown
панда умеет лежать,unknown
робот умеет бегать,unknown
панда любит лежать,unknown
робот любит бегать,unknown
панда начал лежать,unknown
робот начал бегать,unknown
панда продолжай лежать,unknown
робот продолжай бегать,unknown
панда перестань лежать,unknown
робот перестань бегать,unknown
будешь лежать,unknown
будешь бегать,unknown
будешь давать лапу,unknown
хочешь лежать,unknown
хочешь бегать,unknown
хочешь дать лапу,unknown
можешь лежать,unknown
можешь бегать,unknown
можешь дать лапу,unknown
умеешь лежать,unknown
умеешь бегать,unknown
умеешь давать лапу,unknown
любишь лежать,unknown
любишь бегать,unknown
любишь давать лапу,unknown
научись лежать,unknown
научись бегать,unknown
научись давать лапу,unknown
попробуй лежать,unknown
попробуй бегать,unknown
попробуй дать лапу,unknown
забудь про лежать,unknown
забудь про бегать,unknown
забудь про лапу,unknown
помни про лежать,unknown
помни про бегать,unknown
помни про лапу,unknown
думай о лежать,unknown
думай о бегать,unknown
думай о лапе,unknown
говорю лежать,unknown
говорю бегать,unknown
говорю лапу,unknown
прошу лежать,unknown
прошу бегать,unknown
прошу лапу,unknown
требую лежать,unknown
требую бегать,unknown
требую лапу,unknown
советую лежать,unknown
советую бегать,unknown
советую лапу,unknown
рекомендую лежать,unknown
рекомендую бегать,unknown
рекомендую лапу,unknown
предлагаю лежать,unknown
предлагаю бегать,unknown
предлагаю лапу,unknown
заставляю лежать,unknown
заставляю бегать,unknown
заставляю давать лапу,unknown
позволяю лежать,unknown
позволяю бегать,unknown
позволяю давать лапу,unknown
запрещаю лежать,unknown
запрещаю бегать,unknown
запрещаю давать лапу,unknown
лежать запрещено,unknown
бегать запрещено,unknown
лапу давать запрещено,unknown
лежать разрешено,unknown
бегать разрешено,unknown
лапу давать разрешено,unknown
лежать можно здесь,unknown
бегать можно там,unknown
лапу дать можно мне,unknown
лежать нужно тут,unknown
бегать нужно сейчас,unknown
лапу нужно дать потом,unknown
панда не должен лежать,unknown
робот не должен бегать,unknown
панда не может лежать,unknown
робот не может бегать,unknown
панда не умеет лежать,unknown
робот не умеет бегать,unknown
панда не хочет лежать,unknown
робот не хочет бегать,unknown
панда не любит лежать,unknown
робот не любит бегать,unknown
какой панда,unknown
какой робот,unknown
какая лапа,unknown
какой кувырок,unknown
который панда,unknown
который робот,unknown
чей панда,unknown
чей робот,unknown
чья лапа,unknown
чей джойстик,unknown
сколько панд,unknown
сколько роботов,unknown
сколько лап,unknown
много панд,unknown
много роботов,unknown
мало панд,unknown
мало роботов,unknown
один панда,unknown
два робота,unknown
три лапы,unknown
первый панда,unknown
второй робот,unknown
последний панда,unknown
следующий робот,unknown
предыдущий панда,unknown
другой робот,unknown
такой панда,unknown
такой робот,unknown
этот панда лежит,unknown
тот робот бежит,unknown
здешний панда,unknown
тамошний робот,unknown
мой панда,unknown
твой робот,unknown
его панда,unknown
ее робот,unknown
наш панда,unknown
ваш робот,unknown
их панда,unknown
свой робот,unknown
большой панда,unknown
маленький робот,unknown
хороший панда,unknown
плохой робот,unknown
красивый панда,unknown
умный робот,unknown
быстрый панда,unknown
медленный робот,unknown
сильный панда,unknown
слабый робот,unknown
новый панда,unknown
старый робот,unknown
молодой панда,unknown
взрослый робот,unknown
веселый панда,unknown
грустный робот,unknown
добрый панда,unknown
злой робот,unknown
живой панда,unknown
мертвый робот,unknown
панда в комнате,unknown
робот на улице,unknown
панда под столом,unknown
робот над полом,unknown
панда за дверью,unknown
робот перед окном,unknown
панда с джойстиком,unknown
робот без лапы,unknown
панда для игры,unknown
робот из металла,unknown
панда про команды,unknown
робот о себе,unknown
у панды лапа,unknown
к роботу иду,unknown
от панды бегу,unknown
с роботом играю,unknown
по панде скучаю,unknown
о роботе думаю,unknown
панде холодно,unknown
роботу жарко,unknown
панду вижу,unknown
робота слышу,unknown
панде помогаю,unknown
робота зову,unknown
о панде говорю,unknown
роботом доволен,unknown
пандой горжусь,unknown
лапой машу,unknown
кувырком удивлен,unknown
джойстиком играю,unknown
в лапе что-то,unknown
на роботе пятно,unknown
лежать лучше,unknown
бегать хуже,unknown
лапу интереснее,unknown
кувырок веселее,unknown
равняться важнее,unknown
отставить проще,unknown
джойстик нужнее,unknown
остановиться легче,unknown
панда лежать хочет,unknown
робот бегать любит,unknown
лапу дать готов,unknown
кувырок сделать может,unknown
равняться должен,unknown
отставить надо,unknown
сегодня лежать,unknown
завтра бегать,unknown
вчера лежал,unknown
сейчас бежит,unknown
потом дам лапу,unknown
раньше давал лапу,unknown
скоро кувырок,unknown
недавно кувырок был,unknown
всегда лежит,unknown
никогда не бегает,unknown
иногда дает лапу,unknown
часто вращается,unknown
редко равняется,unknown
постоянно лежит,unknown
временами бегает,unknown
обычно лапу дает,unknown
освежи робота,unknown
положи трубку,unknown
положи лапу,unknown
салют вперёд,unknown
салют впереди,unknown
олежи робота,unknown
запусти робота,unknown
робот запустись,unknown
опусти руку,unknown
